id_product,name ,Fabricant,quatity_masse,quantity_vol,Score Danger,description,cas_number,État physique,cid_number,phase_risque,Classif. SGH,ICPE,pH,Temp_ébullition,pression_vapeur,code_tunnel
"8,43949",cyclopentyl methyl ether (stab),Merck,,1,11,,5614-37-9,Liquide,H225 H302 H315 H319,,"Flam. Liq. 2, Acute Tox. 4 (Oral), Skin Irrit. 2, Eye Irrit. 2",,,107 °C,,D/E
"26192,361",n-Pentane,VWR,,20,211,,109-66-0,Liquide,EUH066 H225 H304 H336 H411,,"Flam. Liq. 2, STOT SE 3, Asp. Tox. 1, Aquatic chronic Chronic 2",,,35 °C,,D/E
A0449055,1-butyl-3-methylimidazolium chloride,Thermo Scientific,"0,025",,101,,79917-90-1,Solide,H301 H315 H319 H411,,"Acute Tox. 3 (Oral), Skin Irrit. 2, Eye Irrit. 2, Aquatic chronic Chronic 2","4140,1","7,9",,,E
157910025,Triethylamine,Acros Organics,,1,310,,121-44-8,Liquide,H225 H302 H311 H314 H318 H331 H335,R15,"Flam. Liq. 2, Acute Tox. 3 (Derm.), Acute Tox. 3 (Inhal.), Acute Tox. 4 (Oral), Skin Corr. 1A, Eye Dam. 1, STOT SE 3","4130,2","12,4",,,D/E
"20071,294",acetonitrile,VWR,,3,30,,75-05-8,Liquide,H225 H302 H312 H319 H332,,"Flam. Liq. 2, Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Eye Irrit. 2",,,"81,6 °C",97 hPa,D/E
3086022,Ethanol absolute anhydrous,Carlo Erba,,3,1,,64-17-5,Liquide,H225 H319,,"Flam. Liq. 2, Eye Irrit. 2",,7,78 °C,59 hPa,D/E
"19,807-2","Sodium Borohydride, powder, 98%",Aldrich,"0,1",,1300,,16940-66-2,ND,EUH014 H260 H301 H314 H360F,,"Water-react. 1, Acute Tox. 3 (Oral), Skin Corr. 1B, Repr. 1B",,,,,E
B12695,"BENZOYL CHLORIDE, REAGENTPLUS(R), &gt;=99%",Sigma Aldrich,,"0,005",210,,,ND,H302 H312 H314 H317 H318 H331,,"Acute Tox. 3 (Inhal.), Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Skin Corr. 1B, Eye Dam. 1, Skin Sens. 1",,2,,1 mmHg à 32 °C,E
A13162,"p-Benzoquinone, 98+%",Alfa Aesar,"0,2",,301,,106-51-4,Solide,H301 H315 H319 H331 H335 H400,,"Acute Tox. 3 (Oral), Acute Tox. 3 (Inhal.), Skin Irrit. 2, Eye Irrit. 2, STOT SE 3, Aquatic acute Acute 1","4130,1",4,,"0,1 mbar à 20 °C",D/E
"20063,412",Acétone TECHNICAL,VWR,,40,111,,67-64-1,Liquide,EUH066 H225 H319 H336,,"Flam. Liq. 2, Eye Irrit. 2, STOT SE 3",,2,"56,2 °C",233 hPa,D/E
D136808,"2,2-Dimethoxypropane",Sigma Aldrich,,"0,525",1,,77-76-9,Liquide,EUH066 H225 H319,,"Flam. Liq. 2, Eye Irrit. 2",,,83 °C,"60 mmHg à 15,8 °C",
319929,"1,2-dichloroethane",Sigma Aldrich,,1,1400,,107-06-2,Liquide,H225 H302 H304 H315 H319 H331 H335 H350,,"Flam. Liq. 2, Acute Tox. 3 (Inhal.), Acute Tox. 4 (Oral), Skin Irrit. 2, Eye Irrit. 2, Carc. 1B, STOT SE 3, Asp. Tox. 1",,,83 °C,102 hPa à 25 °C,D/E
"20821,31",Ethanol absolute,VWR,,3,1,,64-17-5,Liquide,H225 H319,,"Flam. Liq. 2, Eye Irrit. 2",4331,20,"78,3 °C",59 hPa,D/E
N1607,"1,8 Naphtalic Anhydride",Sigma Aldrich,"0,1",,111,,"81-84-5, 81-84-5",Solide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2, STOT SE 3",Non soumis,,,,
"83804,41",Ethanol 96 % vol pur TechniSolv,VWR,,90,1,,64-17-5,Liquide,H225 H319,,"Flam. Liq. 2, Eye Irrit. 2",4331,20,"78,3 °C",59 hPa,D/E
"20837,32",Methanol for HPLC,VWR,,"17,5",4000,,67-56-1,Liquide,H225 H301 H311 H331 H370,,"Flam. Liq. 2, Acute Tox. 3 (Oral), Acute Tox. 3 (Derm.), Acute Tox. 3 (Inhal.), STOT SE 1",4722,20,"64,6 °C",128 hPa,D/E
23488,"1,4-bis(3-aminopropyl)-piperazine",Aldrich,,"0,05",0,,,Liquide,,,,,,,,
211934,Iron,Panreac,"0,25",,,,7439-89-6,Solide,,,,Non soumis,,"2,75 °C",,
B5600-5,5-bromoacenaphtalene,Aldrich,"0,005",,,,2051-98-1,Solide,,,,Non soumis,,335 °C,,
"141545,1211","1,2-propanediol",Panreac,,1,,,57-55-6,Liquide,,,,Non soumis,,185 °C,12 hPa,
C3493,[10]cycloparaphenylene,TCI,"0,00002",,,,1222105-46-5,Solide,,,,Non soumis,,,,
